Name,Address,Location,Price,Cuisine,Longitude,Latitude,Award,FacilitiesAndServices,Description,Price_level
Relais Louis XIII,"8 rue des Grands-Augustins, Paris, 75006, France","Paris, France",€€€€,Classic Cuisine,2.3408104,48.8546533,1 Star,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Valet parking","This edifice, steeped in history, stands on the cellars of the former Grands-Augustins convent and it was here on 14 May 1610, an hour after his father King Henry IV had been assassinated, that Louis XIII learned that he was the next king of France?The memory of this rich heritage lingers on in the ornate dining room which sports half-timbers, bare stone, wainscoting, stained-glass and wall hangings, although the profusion of heirlooms is set off by a few cutting-edge details (glazed cellar, modern sculptures). The setting with a sense of occasion is the perfect foil to the food of chef Manuel Martinez, an ardent champion of Gallic culinary classicism. After training at Ledoyen, the Crillon and the Tour d’Argent, the Meilleur Ouvrier de France (Best Craftsman of France) decided to settle in this prestigious establishment to pursue high-flying French culinary traditions. Enduringly popular with regulars, in particular for the excellent eater-friendly lunchtime prices!",4
Yoshinori,"18 rue Grégoire-de-Tours, Paris, 75006, France","Paris, France",€€€€,Modern Cuisine,2.3377712,48.8528439,1 Star,,"Chef Yoshinori Morié (formerly at Le Petit Verdot, Encore, L'Auberge du 15) delights diners with refined, visually pleasing cuisine in the form of single set menus. Think tartare of Corrèze veal, cockles and cauliflower; monkfish, lotus and mushrooms; or ballotine of pigeon, porcini, dates, carrots and combava ?so many unabashed odes to elegance and indulgence. In a busy corner of the Latin Quarter, this place is a rare gem among the usual eateries, housed in an intimate setting with exposed stonework, white beams, Japanese-style woodwork, designer lighting, white linen and porcelain. An appealing set menu is available at lunchtime. Smiling and attentive service.",4
L'Or Bleu,"6 boulevard de l'Esquillon, Théoule-sur-Mer, 06590, France","Théoule-sur-Mer, France",€€€€,"Modern Cuisine, Mediterranean Cuisine",6.9453085,43.4853664,1 Star,"Air conditioning,Car park,Garden or park,Great view,Terrace,Valet parking,Wheelchair access","After stints in respected Michelin-starred restaurants in Switzerland and Chantilly, Alain Montigny (Meilleur Ouvrier de France 2004) is now the chef of the exquisite Tiara Yaktsa hotel, whose terrace commands a drop-dead view over the sea and the ruddy Esterel mountains. His distinctive Mediterranean-inspired recipes are balanced and delicately flavoured thanks to top-quality ingredients and superb craftsmanship. Highlights include creamy scrambled eggs, truffles and focaccia toast or Brittany spider crab, smoked eel in green apple aspic with an iced cream of lentils and shrenkii caviar.",4
Armani Ristorante,"7 place du Québec, Paris, 75006, France","Paris, France",€€€€,Italian,2.3325851,48.8537124,1 Star,"Air conditioning,Wheelchair access","This restaurant is in an original location on the first floor of the Armani store in St-Germain-des-Prés (not far from the church). The interior is pure and elegant, in the designer's style, of course: a palette of beiges, banquette seating, glossy walls, subdued lighting?Might this be just another shopfront in all but name? On the contrary, this ristorante is one of the best Italian eateries in Paris. Chef Massimo Tringali, former sous-chef at Casadelmar in Porto-Vecchio, works with high-quality ingredients in the spirit of contemporary Italian cuisine. It is fresh, tasty and skilfully done: a fine piece of work.",4
La Table - Hôtel Clarance,"32 rue de la Barre, Lille, 59000, France","Lille, France",€€€€,Modern Cuisine,3.0571817,50.638729,1 Star,"Garden or park,Terrace","In the heart of Lille's old town, this former 18C mansion now houses a restaurant that is well worth a visit. The set menus make the most of meticulously sourced local produce, such as fish caught by small boats, and the hotel's own herb garden. Diners can choose to have their meal in one of the rooms that still brandishes its period wood panelling or in the former library (where one private table awaits at the bottom of the handsome spiral staircase) ?the decor cleverly blends heritage features with contemporary design elements. In fine weather, why not dine on the terrace overlooking the wooded grounds? Whichever space you opt to dine in, the service here is professional and attentive.",4
Alan Geaam,"19 rue Lauriston, Paris, 75016, France","Paris, France",€€€€,Creative,2.2923263,48.8714347,1 Star,Air conditioning,"We’ve all heard of the American dream, but Alan Geaam prefers the French version! After a childhood marked by the civil war in Lebanon, he moved to Paris aged 24 with just one idea in mind: to make his way in the world of gastronomy ?his true passion. He started out washing dishes, then became a commis and avid reader of cookery books, climbing the rungs of the gastronomic ladder. At the helm of his own restaurant, he has exploded on to the culinary scene as he brings together all that he has learned over the years. His original recipes skilfully combine France’s rich heritage with touches from Lebanon in a true mixing of cultures, and his hard work and passion shine through in each and every dish. A fine dining experience.",4
La Grande Cascade,"Allée de Longchamp, Bois de Boulogne, Paris, 75016, France","Paris, France",€€€€,Classic Cuisine,2.2404762,48.8626663,1 Star,"Car park,Interesting wine list,Terrace,Valet parking","Transformed into a restaurant for the Universal Exhibition of 1900, Empire, Belle Époque and Art nouveau styles culminate in the charm of a rotunda dining room with a glazed roof and a superb terrace. The business clientele comes here to savour the spirit of a bygone Paris and the ‘country?air of the Bois de Boulogne. Georges Menut lovingly maintains the image of a “grande dame? but modernity is ensured with the cooking of chef Frédéric Robert, whose cv includes L’Ambroisie, Le Vivarois and Lucas-Carton, and the desserts of young pastry-chef Joris Vée.",4
Le Violon d'Ingres,"135 rue Saint-Dominique, Paris, 75007, France","Paris, France",€€€€,"Traditional Cuisine, Classic Cuisine",2.3017796,48.8582135,1 Star,"Air conditioning,Interesting wine list,Wheelchair access","At this luxury neo-brasserie, the duo of Alain Solivérès (the highly experienced former chef of Le Taillevent) and Jimmy Tsaramanana celebrate the South-West of France with impressive technical skill and high-quality ingredients. The sautéed sweetbreads served with a vin jaune sauce and the millefeuille with its light vanilla cream remain two great classics of the house. As for the feel of the place, authenticity and conviviality reign supreme, thanks to a highly professional team. This is a restaurant frequented by bon vivants, and reservations are essential, as tables get snapped up fast.",4
Le Chiberta,"3 rue Arsène-Houssaye, Paris, 75008, France","Paris, France",€€€€,Modern Cuisine,2.2978116,48.8735298,1 Star,"Air conditioning,Counter dining,Valet parking","Le Chiberta à la Guy Savoy sports a black colour scheme, has adopted wine as its symbol and inventiveness as its guiding precept. Softly lit, the swish, understated interior by Jean-Michel Wilmotte is refreshingly and fashionably minimalist. Its most eye-catching feature is undeniably an amazing “vertical wine cellar?which boasts a whopper selection of Burgundy and Bordeaux tipples that adorn the walls like rare books in a library. The cooking of chef Irwin Durand (Joël Robuchon, Bernard Loiseau), supervised by the “boss? adds a modern twist to tradition (quenelle of pike, suckling pig, veal’s head, foie gras), whilst respecting the seasons. Tasting menus (on themes such as truffles and caviar) and wine pairings.",4
Nomicos,"16 avenue Bugeaud, Paris, 75116, France","Paris, France",€€€€,Modern Cuisine,2.2830139,48.8702708,1 Star,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access","Having run the kitchens at Lasserre (one of the temples of classical French cuisine) for many years, Jean-Louis Nomicos is now well installed in this restaurant bearing his name. For this bard of gastronomic tradition, who was born near Marseille and grew up in a world where bouillabaisse is king, culinary arts and techniques are first and foremost about the senses and pleasures of the palate. It is within these parameters that he reveals the full potential of his successful recipes and top-notch ingredients ?Mediterranean wherever possible, of course ?including his signature macaroni with black truffles and duck foie gras. The contemporary decor provides the perfect foil to this chef’s culinary endeavours.",4
Sushi B,"5 rue Rameau, Paris, 75002, France","Paris, France",€€€€,Japanese,2.3376315,48.867715,1 Star,Air conditioning,"On the edge of the delightful Louvois Square, this microscopic restaurant (eight seats only) is well worth a visit. The interior is the quintessence of pared down zenitude: upholstered armchairs, elegant counter, fine glassware, starched cotton napkins and exquisite chopsticks?Marble is omniscient, extending as far as the rest room and the Japanese toilets! However, it is the chef’s talent that draws foodies likes wasps to a hive! This master craftsman works only with the freshest ingredients, crafting them with surgical precision. It is a truly captivating to watch him crafting sushis and makis, all the more so as their flavour then explodes in the mouth, without ever being overpowered by soy or wasabi ?his immaculate judgement is truly phenomenal. The complimentary textures and balance of his other dishes are equally awesome.",4
Le Baudelaire,"Le Burgundy, 6-8 rue Duphot, Paris, 75001, France","Paris, France",€€€€,"Creative, Modern Cuisine",,,1 Star,"Air conditioning,Interesting wine list,Valet parking,Wheelchair access","Relax in this stylish, trendy restaurant, nestling in the heart of an snug, arty luxury hotel that embodies the new Parisian chic. The dining area is laid out around an inner courtyard-cum-winter garden, where it is heaven to snuggle up with a good book and a cup of tea. A haven of genteel tranquillity illustrated by black lacquered tables, comfy armchairs, floor-to-ceiling windows and sleek white walls. Tuck into the vegetable-focused cuisine by chef Anthony Denon (from La Table du Connétable in Chantilly, another model of classicism), and the decadently enticing range of desserts.",4
Alchémille,"53 route de Lapoutroie, Kaysersberg, 68240, France","Kaysersberg, France",€€€€,Creative,7.2500389,48.1487566,1 Star,"Air conditioning,Interesting wine list,Wheelchair access","This old bar has been transformed into a “living space?by a chef born in the village who has accumulated an impressive number of food awards. The son and grandson of a butcher, Jérôme Jaegle is just as much a market gardener and permaculture enthusiast as he is a chef with an impressive CV, having worked with famous names such as Jean-Yves Schillinger and Christian Têtedoie. Almost Scandinavian in appearance, his restaurant is decorated in light wood and natural materials and is named after Alchemilla, the favourite plant of alchemists. His creative and individual cuisine focuses, unsurprisingly, on herbs and vegetables grown in his kitchen garden, as well as other locally sourced ingredients. The set menus have different themes, with a focus on vegetables and the sea.",4
Au 14 Février,"2 rue du Portail, Saint-Valentin, 36100, France","Saint-Valentin, France",€€€€,Modern Cuisine,1.8650229,46.951707,1 Star,Air conditioning,"Japan boasts two museums devoted to the cartoonist Raymond Peynet, who created the famous lovers in 1942, immortalised by a postage stamp. Some of his Japanese admirers thus naturally chose the small village of Saint Valentin to celebrate February 14 in culinary style. Take a seat in the new stripped-back, contemporary interior, graced with the occasional poster or lithography by Peynet. The 100% Japanese white-jacketed brigade conjures up a subtle new take on modern Gallic fare, scattered with delicate Japanese notes. Fine wine list and insightful tips.",4
La Passagère - Hôtel Belles Rives,"33 boulevard Édouard-Baudoin, Juan-les-Pins, 06160, France","Juan-les-Pins, France",€€€€,Creative,7.1155673,43.5648223,1 Star,"Air conditioning,Great view,Terrace,Valet parking,Wheelchair access","The first thing to strike guests in this hotel, where Scott and Zelda Fitzgerald played out their tumultuous romance in the 1920s, is its jaw-dropping location. It’s not easy for a chef to leave his stamp in such a venue, yet chef Aurélien Véquaud does just that. In a high-flying menu throbbing with Mediterranean flavours (such as little tunny, semi-baked tomato and roquette dressing), the chef’s Vendée origins shine through in each plate. Unpasteurised cream jazzes up the chef’s signature dish of raviole of crab, Platine caviar and a foamy verbena mousse while iconic regional specialties from Vendée (préfou and mouclade) are given a new spin and served as appetisers. Let’s not forget the truly heroic desserts by pastry wizard, Steve Moracchini, who conjures up exquisitely delicate delights, such as a delectable Mirabelle plum tartlet. The restaurant’s terrace commands a breathtaking view of the sea and the Esterel mountains.",4
Alain Llorca,"350 route de Saint-Paul, La Colle-sur-Loup, 06480, France","La Colle-sur-Loup, France",€€€€,Provençal,7.1089745,43.6952832,1 Star,"Air conditioning,Car park,Garden or park,Great view,Restaurant offering vegetarian menus,Terrace,Valet parking,Wheelchair access","Alain Llorca is an iconic character of French Riviera cuisine with high-profile stints at the mythical luxury Negresco Hotel and the Moulin de Mougins, amongst other fine food affairs. In his farmhouse in La Colle-sur-Loup, whose terrace commands a jaw-dropping view of Saint Paul de Vence, he gives free rein to his affinity for all things Mediterranean. The result is often an ode to seafood, steeped in subtle, delicate notes: seabass in an aubergine crust with garden veggies; Poupeton of courgette flowers with black truffles, but Tarn pigeon, foie gras and tender juicy beef also make guest star appearances.",4
Ed.Em,"4 impasse Chenevottes, Chassagne-Montrachet, 21190, France","Chassagne-Montrachet, France",€€€€,Modern Cuisine,4.7307466,46.9384965,1 Star,Air conditioning,"Ed.Em is a contraction of Édouard and Émilie who met at Régis Marcon. He is a chef with an enviable CV, who started at the Quai d’Orsay, before stints at Philippe Rochat and Lameloise, and she is a talented pastry chef who adds the final flourish to a fine meal composed of a set menu in several courses. The chef’s tasty score, rich in premium ingredients, is full of personality, yet subtly delicate, illustrated by a tataki of Charolais beef with semi-cooked Arctic char (an unusual surf ‘n turf starter), or a delicately cooked loin of zander with an exquisite medley of carrots?A pleasant halt on the wine road.",4
Le Jardin de Berne,"Chemin des Imberts, Flayosc, 83780, France","Flayosc, France",€€€€,Modern Cuisine,6.3660986,43.5164138,1 Star,"Air conditioning,Car park,Interesting wine list,Terrace,Wheelchair access","A vineyard (1,000 hectares no less!), a five-star hotel with a spa, a Michelin-starred restaurant and a vegetable garden: this half Provençal, half Tuscan edifice is home to chef Louis Rameau, formerly second chef here. He sings an ode to the Upper Var thanks to garden vegetables, herbs and flowers and wine and olive oil from the estate. The cheeses and other ingredients are local and organic: ‘scatter-brained?leek with a velvety lemon and saffron sabayon, confit of lamb in a bread crust or a mind-blowing chocolate delight by fiendishly talented pastry chef éric Raynal. Open evenings only.",4
G.a. au Manoir de Rétival,"2 rue Saint-Clair, Caudebec-en-Caux, 76490, France","Caudebec-en-Caux, France",€€€€,"Modern Cuisine, Creative",0.7348884,49.5249389,1 Star,"Car park,Garden or park,Great view,Terrace","This manor house overlooking the Seine is the HQ of David Goerne, a German-born chef in love with French cuisine. He unfussily invites guests to take a seat at the ‘table d’hôte?in his vintage kitchen, whose walls gleam with copper utensils. In fine weather, meals are served on the panoramic terrace gazing down on the River Seine and Brotonne bridge. David enjoys improvising in front of diners, subtly and creatively incorporating herbs, peppers and other seasonings to highlight the essence of each ingredient. Enhanced by a genuine bouquet of herbs and flowers and a lemon emulsion, his incredible medley of fresh garden veggies on an egg yolk marinated in soy sauce sings an ode to the miracle of nature. Although a fervent champion of vegetables, David is also at home with lobster, foie gras or squab, depending on his whim and the seasons.",4
La Bonne Étape,"Chemin du Lac, Château-Arnoux-Saint-Auban, 04160, France","Château-Arnoux-Saint-Auban, France",€€€€,Provençal,6.0123896,44.0930379,1 Star,"Air conditioning,Car park,Garden or park,Interesting wine list,Restaurant offering vegetarian menus","The table at this restored farmhouse is laid with bread, fougasse, olives and olive oil, plus a host of colourful sun-ripened tomatoes ?just some of the typical Provençal fare served in this restaurant where thyme, savory and lavender add to the fragrant scents of southern France. Chef Jany Gleize has been serving classic, gourmet Provençal cuisine which is full of flavour for almost half a century. With dishes such as cep mushrooms in ravioli or a flan, duck foie gras and mallard pie, hare �?la royale?and lamb from Sisteron on the menu, Provençal writer Jean Giono would have appreciated the strong and distinctive flavours of this rich cuisine. Guests come from far and wide to taste this chef’s “pieds et paquets?(tripe and trotters), served in a spicy tomato sauce which brings out the full flavours of the ingredients. A few spacious guestrooms decorated with period furnishings are also available.",4
Le Valucien - Château de Vault-de-Lugny,"11 rue du Château, Vault-de-Lugny, 89200, France","Vault-de-Lugny, France",€€€€,Modern Cuisine,3.8548891,47.4956359,1 Star,"Air conditioning,Car park,Garden or park,Restaurant offering vegetarian menus,Terrace,Wheelchair access","The terrace of this stately home overlooking sprawling grounds and a 17C plane tree features in a novel by French author Michel Houllebecq. The Mauritian chef Franco Bowanee crafts subtle, up-to-date recipes, strewn with discerning exotic notes. His bang-on, straightforward food not only shines the spotlight on noble produce, but also on vegetables from the estate’s own cottage garden. Meals are served in a majestic setting ideally suited to this culinary adventure.",4
Le Saint-James,"3 place Camille-Hosteins, Bouliac, 33270, France","Bouliac, France",€€€€,Modern Cuisine,-0.5038945,44.8144207,1 Star,"Air conditioning,Garden or park,Great view,Interesting wine list,Terrace","An iconic establishment if ever there was one. For many years, Le Saint James was the realm of its avant-garde founder, chef Jean-Marie Amat; he commissioned Jean Nouvel to redesign his premises, which opened in 1989 and became a benchmark in design ?and now they are to undergo major renovation works again. The restaurant pays tribute to Nouvelle-Aquitaine producers by elevating the fruits of their labours, from Gironde caviar to Bazas beef. Chef Mathieu Martin's appealing cuisine is refined, delicate and as fresh as can be, cf. the remarkable, perfectly cooked tuna from Saint-Jean-de-Luz. The chef makes no bones about his love of plants, eg tomatoes, plain and with chilli, clear soup. The legend of Le Saint James lives on!",4
La Balette,"Route de Port-Vendres, Collioure, 66190, France","Collioure, France",€€€€,"Creative, Modern Cuisine",3.0890189,42.5244835,1 Star,"Air conditioning,Great view,Interesting wine list,Restaurant offering vegetarian menus,Terrace","Laurent Lemal unveils the full gamut of his talents in this idyllic seaside venue opposite the picturesque bay and village of Collioure. His distinctive cuisine focused on local ingredients exalts the plentiful fare of Catalonia, with a fondness for finely crafted surf and turf dishes (monkfish from small boats, jus of Vaudovan spices and a biscuit of puffed rice and pistachio?. His wife Julie whips up exquisitely delicate desserts. A made-to-measure dining experience which is designed with the maître d’hôtel, who takes the time to talk to each guest before the start of the meal. The best winegrowers of Roussillon figure prominently on the wine list.",4
Les Terraillers,"11 chemin Neuf, Biot, 06410, France","Biot, France",€€€€,"Creative, Modern Cuisine",7.0956199,43.6267515,1 Star,"Air conditioning,Car park,Terrace","Between Antibes and Cagnes-sur-Mer, this village owes its fame to its art glassware and its pottery, thanks to a soil rich in clay. In fact, Michaël Fulci’s parents opened their restaurant in a former potter’s studio, the kiln of which is now a delightfully snug lounge! In fine weather, the shaded trellis of the alfresco patio attracts diners like bees to honey?Michaël Fulci is a bona fide Mediterranean chef, who learned the ropes with legends such as Alain Ducasse and Roger Vergé, no less?The menu naturally enough overflows with fruit and veg from local markets, from courgette flowers and Menton lemons to figs. Truffles also enjoy the spotlight, be they black from Vaucluse or white from Alba. Sophisticated, flavourful food, drenched in sunshine, scents and flavours.",4
Le Cèdre de Montcaud,"Hameau de Combes, Sabran, 30200, France","Sabran, France",€€€€,Modern Cuisine,,,1 Star,"Air conditioning,Car park,Garden or park,Terrace,Wheelchair access","The fine dining restaurant at Château de Montcaud is headed up by a chef with international experience, the talented Matthieu Hervé. A constantly updated surprise set menu offers a succession of beautiful, meticulously prepared dishes: blue crab, jellied langoustine consommé; John Dory, romanesco sauce, rock fish soup (a dish bursting with sunshine); fillet of veal in a crust of fresh herbs, cream of chanterelle mushrooms and espuma of hay (a dish embellished with magnificent sauces). The intimate setting of a delightful courtyard covered with Virginia creeper accommodates only six or seven tables, ensuring a first-rate experience.",4
Villa Pinewood,"590 chemin du Nègre, Payrin-Augmontel, 81660, France","Payrin-Augmontel, France",€€€€,Creative,2.347021,43.5272455,1 Star,"Air conditioning,Car park,Interesting wine list","This enthusiastic couple of sommeliers, Thomas and Anne Cabrol, are the founders of a location in Toulouse previously crowned ""Best Wine Bar in the World"". Now they welcome you to their table d'hôte-style restaurant, where primacy is given to local produce and everything possible is done to limit their environmental impact. The dishes make the most of ingredients sourced from a natural environment situated between the dry Causse, with its truffles and aromatic plants, and the wet Montagne Noire with its wealth of ingredients from the undergrowth (berries, mushrooms, wild plants). Over the course of the meal, the chef elaborates on his creative and predominantly plant-based culinary universe by showing his suppliers, who produce or pick the food you are eating, on a screen. This multimedia aspect enriches the meal, as do the remarkable wine pairings. Online bookings only.",4
L'Abissiou,"81 rue des Halles, Les Sables-d'Olonne, 85100, France","Les Sables-d'Olonne, France",€€€€,Modern Cuisine,-1.78727,46.49558,1 Star,,"This fine dining restaurant is tucked away in a quiet back street between the indoor market and the beautiful church, Notre-Dame-de-Bon-Port. Its name, in the local dialect, refers to the small fish caught by children in the port. At the helm, a talented pair, Mélanie Roussy and Boris Harispe, trained at Michelin-starred restaurants (including La Villa Madie), have decked the place out in a contemporary style (navy and white walls, designer furniture etc). The menu is packed with seafood dishes (among others) and constantly changes, as the chef scrupulously follows the seasons, works with all ingredients, premium or not, from sardines to pork belly, with a keen sense for sauces and cooking techniques. A success.",4
La Table de L'Incomparable,"68 chemin de Belledonne, Tresserve, 73100, France","Tresserve, France",€€€€,Modern Cuisine,5.8996741,45.6705497,1 Star,"Air conditioning,Car park,Great view,Terrace,Wheelchair access","This knockout location overlooking the Lac du Bourget is the HQ of chef Antoine Cevoz-Mamy, who conjures up elegant, technically spot-on food overflowing in gutsy flavours with a distinct preference for local produce: home-grown veggies, trout, fera, farm-reared veal?Dishes that pack a punch and showcase his weakness for citrus fruit and careful attention to contrasting textures. Finally, the drop-dead panoramic view from the terrace over the lake and Mont du Chat is out of this world.",4
"Pavyllon, un restaurant de Yannick Alléno, Monte-Carlo","Square Beaumarchais, Monaco, 98000, France","Monaco, France",€€€€,"Modern Cuisine, Creative",7.4258682,43.7384624,1 Star,"Air conditioning,Great view,Restaurant offering vegetarian menus,Terrace,Valet parking,Wheelchair access","Yannick Alleno’s gourmet counter food, after finding favour with Parisian city slickers, has set up shop in the Hermitage Hotel in Monte Carlo with the same sure-fire recipes. Namely, gourmet fare that boldly asserts a distinctive unorthodox culinary identity. The open kitchen faces the terrace and the impressive tasting counter in metallic wood, in an elegant blue colour scheme that echoes the nearby sea. In terms of food, the accent is on the seasons and wellbeing, anchored in plants, seafood and low-sugar desserts. In fine weather, meals are served on the Mediterranean garden patio commanding a view of the deep blue sea as a bonus.",4
Guillaume Scheer - Les Plaisirs Gourmands,"35 route du Général-de-Gaulle, Schiltigheim, 67300, France","Schiltigheim, France",€€€€,Modern Cuisine,7.7392002,48.6005284,1 Star,"Air conditioning,Terrace","Do as the locals do and make a beeline for this discreet restaurant with its tasteful contemporary décor. At the helm, a rather remarkable couple ?Guillaume Scheer in the kitchen and his partner, Charlotte Gate, the personification of smiling efficiency front of house. Guillaume, who worked at the Pavillon Ledoyen in Paris and 1741 in Strasbourg, is fully versed in the pleasures of the palate, creating superb sauces and jus, cooking fish to perfection, and focusing on the freshest ingredients.",4
Grand Hôtel du Lion d'Or,"69 rue Georges-Clemenceau, Romorantin-Lanthenay, 41200, France","Romorantin-Lanthenay, France",€€€€,Modern Cuisine,1.7438252,47.3602993,1 Star,"Car park,Interesting wine list,Terrace","The Grand Hôtel du Lion d'Or is a gastronomic landmark of Sologne and owes its reputation to Marie-Christine and Didier Clément, a couple of professionals who are passionate about food. A true scholar when it comes to his region, the chef has spent his career resurrecting forgotten herbs and spices: grains of paradise, sand leek, angelica and lemon thyme, as well as vegetables such as parsnips or the vitelotte potato. He combines experience and curiosity, cooking in a classical vein, without affectation and his jus and sauces are particularly succulent. Take for example his Babylon-style pigeon, stuffed between the skin and flesh, now a signature dish of the house. Let’s not forget the knockout wine list which shines the spotlight on the Loire’s top wineries.",4
Lait Thym Sel,"17 rue Boisnet, Angers, 49000, France","Angers, France",€€€€,Creative,-0.5512482,47.4745869,1 Star,Air conditioning,"(Temporarily closed) Among the gorgeous half-timbered houses in the neighbourhood of La Doutre, we warmly recommend this gem run by a talented couple. The young chef, Gaëtan Morvan, who has experience at some of the great Michelin-starred restaurants, serves up an atypical culinary experience in 15 highly original sequences that make the most of ingredients from the region. Inventiveness, unexpected associations?we let ourselves be carried away into his culinary universe. In the dining room, Fanny Morvan provides efficient service and suggests excellent and environmentally friendly wines. N.B. It is crucial to book, as this small, cosy restaurant can only accommodate 16 diners.",4
Rosmadec Le Moulin,"Venelle de Rosmadec, Pont-Aven, 29930, France","Pont-Aven, France",€€€€,Modern Cuisine,-3.7479266,47.854745,1 Star,"Great view,Interesting wine list,Restaurant offering vegetarian menus,Terrace,Wheelchair access","The first restaurant to be awarded a star in the Finistère (back in 1993!), the Moulin de Rosmadec is a gourmet benchmark of Brittany; it also enjoys a magical location with its alfresco terrace by the River Aven. Supervised by chef Christian Le Squer, the food sings the praises of Brittany’s country produce (sarrazin wheat, buttermilk, Plougastel strawberries) and local seafood (spider crab, langoustine, lobster). Enticingly presented, subtle sauces and reductions and delicate flavours. A high-flying culinary score, flanked by a splendid wine list.",4
Les Cèdres,"25 rue Henri-Machon, Granges-les-Beaumont, 26600, France","Granges-les-Beaumont, France",€€€€,Classic Cuisine,4.9838433,45.0502101,1 Star,"Air conditioning,Car park,Garden or park,Interesting wine list,Terrace","Some establishments have chosen to shy away from media hype and les Cèdres is in that category. Betwixt Romans and Tain-l’Hermitage in Drôme, venture over the threshold of this restaurant, shaded by cedars and devoted to nature, and sample the work of the Bertrand brothers: Jacques in the kitchen and Jean-Paul in the dining room. Since 1988, they have lavished time, humility and talent on developing their enterprise. As Gallic as Gauloises and Jacques Tati, the menu focuses on flavour rather than fancy technique. The authentic warm welcome adds the final flourish to this hospitable establishment.",4
L'Auberge de Saint-Rémy - Fanny Rey & Jonathan Wahid,"12 boulevard Mirabeau, Saint-Rémy-de-Provence, 13210, France","Saint-Rémy-de-Provence, France",€€€€,Modern Cuisine,4.8333205,43.7885608,1 Star,"Air conditioning,Interesting wine list,Wheelchair access","Chef Fanny Rey is at the helm of this grand old Auberge located on the beltway and the old ramparts of this pretty town. She cooks up tasty market cuisine that spotlights Alpilles produce beautifully. By her side is her partner Jonathan Wahid (brother of Sylvestre), an experienced pastry chef and previous French dessert champion ?he knows just how to showcase the delicious sun-drenched produce of the South, such as figs. The food is served in a designer interior: white ceiling imitating a wave, and bare stone walls.",4
Le Saint Placide,"6 place du Poncel, Saint-Servan-sur-Mer, Saint-Malo, 35400, France","Saint-Malo, France",€€€€,Creative,-2.010532,48.6296543,1 Star,"Air conditioning,Restaurant offering vegetarian menus,Wheelchair access","Sheltered from St-Malo’s tourist hordes in a district popular with the locals, this handsome contemporary restaurant sports a decor of organic curves, Fornasetti tableware and pendant lights by Tom Dixon. Chef Luc Mobihan, a wizard when it comes to fish, seafood and regional veggies, boasts stints at the Château de la Chenevière (Port-en-Bessin) and at the Amphitryon (Lorient), where he was the second to Jean-Paul Abadie. He conjures up enticing cuisine in the zeitgeist, such as seared scallops, chutney of confit turnips and Noilly Prat. Meanwhile, his wife Isabelle gives free rein to her love of table arts and her passion for fine wines (Champagne, Loire, Burgundy etc). Attentive service.",4
L'Archeste,"79 rue de la Tour, Paris, 75016, France","Paris, France",€€€€,Modern Cuisine,2.2782052,48.8617268,1 Star,"Air conditioning,Interesting wine list,Wheelchair access","This restaurant with an appealing façade and sleek interior (dark brushed-effect painted walls, wooden fittings, large window letting in plenty of natural light) was designed by a chef with a passion for produce. After working at Hiramatsu for 18 years, for 10 of which he was head chef, he now astounds diners with his dazzlingly modern, precise and coherent French cuisine. While casting a spotlight on premium-quality ingredients, he also does a beautiful job of staying true to the seasons. You will find no fixed menu here: the set menus change every day in line with the chef's inspiration. And in case you were curious: The name of this place is an homage to Alain Senderens and his restaurant L'Archestrate, but it is also a clever play on words (""artisanal"", ""orchestra"" and ""art""). In the end, what matters is that you enjoy yourself?and you certainly will.",4
Bellefeuille - Saint James Paris,"5 place du Chancelier-Adenauer, Paris, 75116, France","Paris, France",€€€€,Creative,2.2797777,48.8704851,1 Star,"Air conditioning,Car park,Garden or park,Interesting wine list","Built in 1892, this private mansion resembles a small château surrounded by greenery in the very heart of Paris. It became a hotel in the early 1990s, but it wasn't until 2013 that its restaurant opened to non-residents and it is very probably one of the most exclusive establishments of the French capital! The high-flying score, which focuses on vegetables and seafood, is proud to serve produce from the establishment’s own vegetable garden, capable of supplying over 250 varieties of fruit, veg and herbs. This sustainable farming ethos is elegantly and steadfastly championed by the knowledgeable front-of-house team. The wine list is similarly motivated and offers a fine choice of unexpected tipples.",4
L'Odas,"4 passage Maurice-Lenfant, Rouen, 76000, France","Rouen, France",€€€€,Creative,,,1 Star,"Air conditioning,Terrace,Wheelchair access","Ideally located in the heart of the historic city, two minutes from the cathedral, this restaurant is the work of Olivier Da Silva. He effortlessly regales diners, conjuring up seasonal, consummately balanced dishes, offset with the occasional citrus note to add zest and vivacity. Plants, vegetables and fish are showcased in a mystery menu and diners are entertained by watching him at work in the theatrically visible kitchen. Let’s not forget the pleasant patio screened from view and the slick, yet unstarched service. An experience that involves taking the time to savour food created by an instinctive chef.",4
